,City,Country,Lat,Lng,Hotel Name
0,Atambua,ID,-9.11,124.89,
1,Kapaa,US,22.08,-159.32,
2,Mataura,NZ,-46.19,168.86,
3,Kuala Pilah,MY,2.74,102.25,
4,Chokurdakh,RU,70.63,147.92,
5,Coahuayana Viejo,MX,18.73,-103.68,
6,Ponta do Sol,PT,32.67,-17.1,
7,Carnarvon,AU,-24.87,113.63,
8,Naron,ES,43.52,-8.15,
9,Rio Gallegos,AR,-51.62,-69.22,
10,Praia,CV,14.92,-23.51,
11,Busselton,AU,-33.65,115.33,
12,Merke,KZ,42.87,73.18,
13,Hilo,US,19.73,-155.09,
14,Saint George,US,37.1,-113.58,
15,Comodoro Rivadavia,AR,-45.87,-67.5,
16,Arraial do Cabo,BR,-22.97,-42.03,
17,Smoky Lake,CA,54.12,-112.47,
18,Cape Town,ZA,-33.93,18.42,
19,Hasaki,JP,35.73,140.83,
20,Lorengau,PG,-2.02,147.27,
21,Bereda,ES,43.27,-7.54,
22,Palmer,US,42.16,-72.33,
23,Albany,US,42.6,-73.97,
24,Rehti,IN,22.73,77.43,
25,Saint-Augustin,CA,51.23,-58.65,
26,Rikitea,PF,-23.12,-134.97,
27,Tasiilaq,GL,65.61,-37.64,
28,Lebu,CL,-37.62,-73.65,
29,Nizhniy Kuranakh,RU,58.84,125.49,
30,Bac Lieu,VN,9.29,105.72,
31,Changde,CN,29.05,111.68,
32,Ushuaia,AR,-54.8,-68.3,
33,Pacifica,US,37.61,-122.49,
34,Punta Arenas,CL,-53.15,-70.92,
35,Nokaneng,BW,-19.67,22.27,
36,Ihosy,MG,-22.4,46.12,
37,Kiryat Gat,IL,31.61,34.76,
38,Cherskiy,RU,68.75,161.3,
39,Matagami,CA,49.75,-77.63,
40,Port Alfred,ZA,-33.59,26.89,
41,Wuzhou,CN,23.48,111.32,
42,Eureka,US,40.8,-124.16,
43,Camacha,PT,33.08,-16.33,
44,Vila Franca do Campo,PT,37.72,-25.43,
45,Katsuura,JP,35.13,140.3,
46,Vao,NC,-22.67,167.48,
47,Pochutla,MX,15.74,-96.47,
48,Ellisras,ZA,-23.66,27.74,
49,Lewistown,US,40.6,-77.57,
50,Bluff,NZ,-46.6,168.33,
51,Mahebourg,MU,-20.41,57.7,
52,Dharchula,IN,29.85,80.53,
53,Manta,EC,-0.95,-80.73,
54,Pevek,RU,69.7,170.31,
55,East London,ZA,-33.02,27.91,
56,Leshukonskoye,RU,64.9,45.76,
57,Haines Junction,CA,60.75,-137.51,
58,Mossamedes,AO,-15.2,12.15,
59,Bathsheba,BB,13.22,-59.52,
60,Bandarbeyla,SO,9.49,50.81,
61,Kruisfontein,ZA,-34.0,24.73,
62,Gusau,NG,12.16,6.66,
63,Lujan,AR,-34.57,-59.1,
64,Paracuru,BR,-3.41,-39.03,
65,Lata,PT,40.16,-8.33,
66,Qaanaaq,GL,77.48,-69.36,
67,Tilichiki,RU,60.47,166.1,
68,North Bend,US,43.41,-124.22,
69,Tsumeb,,-19.23,17.72,
70,Severo-Kuril'sk,RU,50.68,156.12,
71,New Norfolk,AU,-42.78,147.06,
72,Mar del Plata,AR,-38.0,-57.56,
73,Bredasdorp,ZA,-34.53,20.04,
74,Nouadhibou,MR,20.93,-17.03,
75,Lompoc,US,34.64,-120.46,
76,Constitucion,CL,-35.33,-72.42,
77,Pozo Colorado,PY,-23.49,-58.8,
78,Maceio,BR,-9.67,-35.74,
79,Margate,GB,51.38,1.39,
80,Dikson,RU,73.51,80.55,
81,Butaritari,KI,3.07,172.79,
82,Madang,PG,-5.22,145.8,
83,Darhan,MN,49.49,105.92,
84,Amarante do Maranhao,BR,-5.57,-46.74,
85,Kodiak,US,57.79,-152.41,
86,Siderno,IT,38.28,16.3,
87,Acapulco de Juarez,MX,16.86,-99.89,
88,Pandan,PH,14.05,124.17,
89,Garut,ID,-7.2,107.89,
90,Amboise,FR,47.41,0.98,
91,Saint-Philippe,RE,-21.36,55.77,
92,Saint-Joseph,RE,-21.37,55.62,
93,Vaini,TO,-21.2,-175.2,
94,Coquimbo,CL,-29.95,-71.34,
95,Ciudad Lazaro Cardenas,MX,17.96,-102.2,
96,Gamba,GA,-2.65,10.0,
97,Cabedelo,BR,-6.98,-34.83,
98,Saint Anthony,US,45.02,-93.22,
99,Tombouctou,ML,20.0,-3.0,
100,Indramayu,ID,-6.33,108.32,
101,Port Blair,IN,11.67,92.75,
102,Sagua la Grande,CU,22.81,-80.08,
103,Port Elizabeth,ZA,-33.92,25.57,
104,Lagoa,PT,39.05,-27.98,
105,Kargopol,RU,61.51,38.95,
106,Kaoma,ZM,-14.78,24.8,
107,Kavieng,PG,-2.57,150.8,
108,Sao Filipe,CV,14.9,-24.5,
109,Saskylakh,RU,71.92,114.08,
110,Kolobrzeg,PL,54.18,15.58,
111,Viedma,AR,-40.81,-63.0,
112,Den Helder,NL,52.96,4.76,
113,Karasburg,,-28.02,18.75,
114,Nikolskoye,RU,59.7,30.79,
115,Volot,RU,57.93,30.7,
116,Amapa,BR,1.0,-52.0,
117,Talcahuano,CL,-36.72,-73.12,
118,Upernavik,GL,72.79,-56.15,
119,Ilulissat,GL,69.22,-51.1,
120,George Town,MY,5.41,100.34,
121,Luderitz,,-26.65,15.16,
122,Antofagasta,CL,-23.65,-70.4,
123,Castro,BR,-24.79,-50.01,
124,Bambous Virieux,MU,-20.34,57.76,
125,Tsimmerbude,RU,54.67,20.13,
126,Erdemli,TR,36.6,34.31,
127,Vysokovsk,RU,56.32,36.55,
128,Bara,NG,10.37,10.73,
129,Gambela,ET,8.25,34.58,
130,Sohag,EG,26.56,31.69,
131,Hobart,AU,-42.88,147.33,
132,Deputatsky,RU,69.3,139.9,
133,Forsytheganj,BY,52.63,29.73,
134,Urumqi,CN,43.8,87.6,
135,Vostochnyy,RU,55.82,37.87,
136,Oranjemund,,-28.55,16.43,
137,Ribeira Grande,PT,38.52,-28.7,
138,Avarua,CK,-21.21,-159.78,
139,Jamui,IN,24.92,86.22,
140,Barrow,US,71.29,-156.79,
141,Weligama,LK,5.97,80.42,
142,Thompson,CA,55.74,-97.86,
143,Qui Nhon,VN,13.77,109.23,
144,Boras,SE,57.72,12.94,
145,Luwingu,ZM,-10.26,29.93,
146,Quthing,LS,-30.4,27.7,
147,Bethel,US,41.37,-73.41,
148,Sao Jose da Coroa Grande,BR,-8.9,-35.15,
149,Hermanus,ZA,-34.42,19.23,
150,Chui,UY,-33.7,-53.46,
151,Airai,TL,-8.93,125.41,
152,Portland,US,45.52,-122.68,
153,Narsaq,GL,60.92,-46.05,
154,Antalaha,MG,-14.9,50.28,
155,Guerrero Negro,MX,27.98,-114.06,
156,Burns Lake,CA,54.23,-125.75,
157,Jamestown,US,42.1,-79.24,
158,Provideniya,RU,64.38,-173.3,
159,Aurora,US,39.73,-104.83,
160,Dalhousie,IN,32.53,75.98,
161,Hithadhoo,MV,-0.6,73.08,
162,Hobyo,SO,5.35,48.53,
163,Clyde River,CA,70.47,-68.59,
164,Bengkulu,ID,-3.8,102.27,
165,Padang,ID,-0.95,100.35,
166,Puksoozero,RU,62.59,40.61,
167,Termez,UZ,37.22,67.28,
168,Santa Cruz de la Sierra,BO,-17.8,-63.17,
169,Irituia,BR,-1.77,-47.44,
170,Atuona,PF,-9.8,-139.03,
171,Tuatapere,NZ,-46.13,167.68,
172,Leningradskiy,RU,69.38,178.42,
173,Baicheng,CN,45.62,122.82,
174,Oudtshoorn,ZA,-33.59,22.2,
175,Akersberga,SE,59.48,18.3,
176,Opunake,NZ,-39.46,173.86,
177,Hebron,PS,31.53,35.1,
178,Dejen,ET,10.17,38.13,
179,Egvekinot,RU,66.32,-179.17,
180,Esperance,AU,-33.87,121.9,
181,Yellowknife,CA,62.46,-114.35,
182,Souillac,MU,-20.52,57.52,
183,Edd,ER,13.93,41.69,
184,Qaqortoq,GL,60.72,-46.03,
185,Evensk,RU,61.95,159.23,
186,Tautira,PF,-17.73,-149.15,
187,Thurles,IE,52.68,-7.8,
188,Yumen,CN,40.28,97.2,
189,Krasnyy Yar,RU,46.53,48.35,
190,Xam Nua,LA,20.42,104.04,
191,Rajgarh,IN,28.63,75.38,
192,Champerico,GT,14.3,-91.92,
193,Takab,IR,36.4,47.11,
194,Klaksvik,FO,62.23,-6.59,
195,Chachapoyas,PE,-6.23,-77.87,
196,Ereymentau,KZ,51.62,73.1,
197,Houston,US,29.76,-95.36,
198,Talnakh,RU,69.49,88.4,
199,Vardo,NO,70.37,31.11,
200,Karatau,KZ,43.17,70.47,
201,Cayenne,GF,4.93,-52.33,
202,Abha,SA,18.22,42.51,
203,Samarai,PG,-10.62,150.67,
204,Djambala,CG,-2.54,14.75,
205,Korla,CN,41.76,86.15,
206,Chumikan,RU,54.72,135.31,
207,Tiksi,RU,71.69,128.87,
208,Ambilobe,MG,-13.2,49.05,
209,Gayaman,PH,16.01,120.31,
210,Roblin,CA,51.23,-101.36,
211,Vanimo,PG,-2.67,141.3,
212,Paris,FR,48.85,2.35,
213,Zharkent,KZ,44.16,80.0,
214,Fairbanks,US,64.84,-147.72,
215,Taltal,CL,-25.4,-70.48,
216,Kahului,US,20.89,-156.47,
217,Puerto Ayora,EC,-0.74,-90.35,
218,Mitsamiouli,KM,-11.38,43.28,
219,Great Bend,US,38.36,-98.76,
220,Healdsburg,US,38.61,-122.87,
221,Sartell,US,45.62,-94.21,
222,Inirida,CO,3.87,-67.92,
223,Severnyy-Kospashskiy,RU,59.09,57.8,
224,Altamira,BR,-3.2,-52.21,
225,Elko,US,41.0,-115.5,
226,Yar-Sale,RU,66.83,70.83,
227,Torbay,CA,47.67,-52.73,
228,Aklavik,CA,68.22,-135.01,
229,Yaan,NG,7.38,8.57,
230,Marfino,RU,55.7,37.38,
231,Lidkoeping,SE,58.51,13.16,
232,San Patricio,MX,19.22,-104.7,
233,Vaitape,PF,-16.52,-151.75,
234,Mehamn,NO,71.04,27.85,
235,San Ignacio,BZ,17.16,-89.07,
236,Laas,IT,46.62,10.7,
237,Agrado,CO,2.26,-75.77,
238,Awjilah,LY,29.11,21.29,
239,San Policarpo,PH,12.18,125.51,
240,Ubari,LY,26.59,12.78,
241,Yangambi,CD,0.81,24.43,
242,Zhaotong,CN,27.32,103.72,
243,Faya,SA,18.39,42.45,
244,Cockburn Town,TC,21.46,-71.14,
245,Manaus,BR,-3.1,-60.02,
246,Elliot,ZA,-31.33,27.85,
247,Namatanai,PG,-3.67,152.43,
248,Iqaluit,CA,63.75,-68.51,
249,Sur,OM,22.57,59.53,
250,Kamenka,RU,51.32,42.77,
251,Norman Wells,CA,65.28,-126.83,
252,Waddan,LY,29.16,16.14,
253,Mendota,US,36.75,-120.38,
254,Tuktoyaktuk,CA,69.45,-133.04,
255,Beringovskiy,RU,63.05,179.32,
256,Belozerskoye,RU,55.82,65.58,
257,Rancho Palos Verdes,US,33.74,-118.39,
258,Ottawa,CA,45.41,-75.7,
259,Northam,GB,51.03,-4.22,
260,Longyearbyen,SJ,78.22,15.64,
261,Prudy,RU,57.57,46.27,
262,Aksu,CN,41.12,80.26,
263,Vanavara,RU,60.34,102.28,
264,Port Hedland,AU,-20.32,118.57,
265,Geraldton,AU,-28.77,114.6,
266,Necochea,AR,-38.55,-58.74,
267,San Fernando,PH,15.03,120.69,
268,Galeana,MX,24.83,-100.07,
269,Onokhoy,RU,51.93,108.07,
270,Peniche,PT,39.36,-9.38,
271,Ocampo,MX,21.65,-101.5,
272,Jinxiang,CN,22.86,115.7,
273,Kiunga,PG,-6.12,141.29,
274,Hofn,IS,64.25,-15.21,
275,Kutum,SD,14.2,24.67,
276,Straumen,NO,63.87,11.3,
277,Khatanga,RU,71.97,102.5,
278,Gayeri,BF,12.65,0.49,
279,Port Hueneme,US,34.15,-119.2,
280,Henties Bay,,-22.12,14.28,
281,Hokitika,NZ,-42.72,170.97,
282,Fosses,FR,49.1,2.51,
283,Dolinsk,RU,47.35,142.8,
284,Morgan City,US,29.7,-91.21,
285,La Asuncion,VE,11.03,-63.86,
286,Tura,IN,25.52,90.22,
287,Pangkalanbuun,ID,-2.68,111.62,
288,Sampit,ID,-2.53,112.95,
289,Trento,IT,46.07,11.12,
290,Atar,MR,20.52,-13.05,
291,Nunkini,MX,20.33,-90.18,
292,Maniitsoq,GL,65.42,-52.9,
293,Ugoofaaru,MV,5.67,73.0,
294,Waipawa,NZ,-41.41,175.52,
295,Bariloche,AR,-41.15,-71.31,
296,Zlatica,ME,43.11,19.27,
297,Newport,GB,51.59,-3.0,
298,Areosa,PT,41.72,-8.86,
299,Ntcheu,MW,-14.82,34.64,
300,Kaitangata,NZ,-46.28,169.85,
301,Aquiraz,BR,-3.9,-38.39,
302,Serenje,ZM,-13.23,30.24,
303,Cap Malheureux,MU,-19.98,57.61,
304,Camana,PE,-16.62,-72.71,
305,Ternate,ID,0.8,127.4,
306,Gizo,SB,-8.1,156.84,
307,Mwinilunga,ZM,-11.74,24.43,
308,Pauini,BR,-7.71,-66.98,
309,Havre-Saint-Pierre,CA,50.23,-63.6,
310,Torquay,GB,50.46,-3.51,
311,Turinsk,RU,58.05,63.7,
312,Xichang,CN,27.9,102.26,
313,Los Llanos de Aridane,ES,28.66,-17.92,
314,Vallenar,CL,-28.57,-70.76,
315,Paamiut,GL,61.99,-49.67,
316,Praia da Vitoria,PT,38.73,-27.07,
317,Prince Rupert,CA,54.32,-130.32,
318,Codrington,AU,-38.27,141.97,
319,Montorio al Vomano,IT,42.58,13.64,
320,Saint-Pierre,RE,-21.34,55.48,
321,Saldanha,ZA,-33.01,17.94,
322,Zaraza,VE,9.35,-65.32,
323,Koslan,RU,63.46,48.9,
324,Saint-Ambroise,CA,48.55,-71.33,
325,Acajutla,SV,13.59,-89.83,
326,Pahrump,US,36.21,-115.98,
327,Anaco,VE,9.44,-64.47,
328,The Valley,AI,18.22,-63.06,
329,Alofi,NU,-19.06,-169.92,
330,San Juan,AR,-31.54,-68.54,
331,Sao Felix do Xingu,BR,-6.64,-51.99,
332,Sisimiut,GL,66.94,-53.67,
333,Hamilton,US,39.18,-84.53,
334,Luanda,AO,-8.84,13.23,
335,Roald,NO,62.58,6.13,
336,Loukisia,GR,38.48,23.45,
337,Glenwood Springs,US,39.55,-107.32,
338,Bud,US,39.45,-86.18,
339,Kantabanji,IN,20.48,82.92,
340,Naze,JP,28.37,129.48,
341,Selishche,RU,56.89,33.27,
342,Port Lincoln,AU,-34.73,135.87,
343,Kaniama,CD,-7.57,24.18,
344,Gualeguaychu,AR,-33.01,-58.52,
345,Zlatoust,RU,55.17,59.65,
346,Santo Amaro,BR,-12.55,-38.71,
347,Ust'-Kishert',RU,57.37,57.25,
348,Ligayan,PH,4.65,119.47,
349,Yulara,AU,-25.24,130.99,
350,Valleyview,CA,55.07,-117.29,
351,Avera,US,33.19,-82.53,
352,Russell,US,32.35,-85.2,
353,Prainha,BR,-1.8,-53.48,
354,Grenfell,AU,-33.9,148.17,
355,Pyinmana,MM,19.73,96.22,
356,Magaria,NE,13.0,8.91,
357,Cidreira,BR,-30.18,-50.21,
358,Palembang,ID,-2.92,104.75,
359,Kang,BW,-23.68,22.79,
360,Pareora,NZ,-44.49,171.21,
361,Richards Bay,ZA,-28.78,32.04,
