,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atambua,54,ID,1579819746,72,-9.11,124.89,81.21,1.63
1,Kapaa,75,US,1579819905,65,22.08,-159.32,79.0,12.75
2,Mataura,56,NZ,1579819830,58,-46.19,168.86,77.0,3.0
3,Kuala Pilah,20,MY,1579820027,78,2.74,102.25,78.8,6.93
4,Chokurdakh,15,RU,1579820027,93,70.63,147.92,-32.78,8.39
5,Coahuayana Viejo,90,MX,1579820027,64,18.73,-103.68,75.2,5.82
6,Ponta do Sol,20,PT,1579819900,62,32.67,-17.1,59.0,10.29
7,Carnarvon,0,AU,1579820027,69,-24.87,113.63,75.2,10.29
8,Naron,100,ES,1579820028,93,43.52,-8.15,51.01,4.7
9,Rio Gallegos,75,AR,1579819906,47,-51.62,-69.22,55.4,31.09
10,Praia,39,CV,1579820028,69,14.92,-23.51,73.4,12.75
11,Busselton,2,AU,1579819826,90,-33.65,115.33,57.99,1.01
12,Merke,17,KZ,1579820028,55,42.87,73.18,22.35,6.11
13,Hilo,90,US,1579819811,61,19.73,-155.09,80.6,9.17
14,Saint George,1,US,1579819811,41,37.1,-113.58,59.0,0.85
15,Comodoro Rivadavia,100,AR,1579820029,20,-45.87,-67.5,77.0,26.4
16,Arraial do Cabo,90,BR,1579819957,94,-22.97,-42.03,73.4,2.24
17,Smoky Lake,99,CA,1579820029,76,54.12,-112.47,27.0,1.99
18,Cape Town,0,ZA,1579820029,68,-33.93,18.42,70.0,6.93
19,Hasaki,40,JP,1579820029,100,35.73,140.83,43.0,4.7
20,Lorengau,53,PG,1579820029,69,-2.02,147.27,83.68,7.54
21,Bereda,100,ES,1579820029,93,43.27,-7.54,51.01,4.7
22,Palmer,90,US,1579820018,55,42.16,-72.33,37.4,2.84
23,Albany,1,US,1579820030,50,42.6,-73.97,33.8,0.94
24,Rehti,97,IN,1579820030,55,22.73,77.43,53.64,6.71
25,Saint-Augustin,100,CA,1579820030,85,51.23,-58.65,25.61,16.28
26,Rikitea,0,PF,1579820030,79,-23.12,-134.97,79.3,17.49
27,Tasiilaq,23,GL,1579819981,43,65.61,-37.64,15.8,14.99
28,Lebu,17,CL,1579820030,66,-37.62,-73.65,62.29,9.95
29,Nizhniy Kuranakh,99,RU,1579820031,100,58.84,125.49,-30.08,2.19
30,Bac Lieu,99,VN,1579820031,91,9.29,105.72,72.77,6.49
31,Changde,100,CN,1579820031,93,29.05,111.68,44.37,8.5
32,Ushuaia,75,AR,1579819965,71,-54.8,-68.3,50.0,24.16
33,Pacifica,1,US,1579820031,71,37.61,-122.49,61.0,4.63
34,Punta Arenas,40,CL,1579819877,43,-53.15,-70.92,55.4,24.16
35,Nokaneng,100,BW,1579820031,79,-19.67,22.27,71.44,4.41
36,Ihosy,30,MG,1579820031,94,-22.4,46.12,62.24,9.98
37,Kiryat Gat,75,IL,1579820032,81,31.61,34.76,53.6,14.99
38,Cherskiy,43,RU,1579820032,93,68.75,161.3,-38.4,3.33
39,Matagami,90,CA,1579820032,85,49.75,-77.63,14.0,4.7
40,Port Alfred,86,ZA,1579820032,90,-33.59,26.89,66.0,4.0
41,Wuzhou,10,CN,1579820032,87,23.48,111.32,63.34,3.02
42,Eureka,90,US,1579820033,82,40.8,-124.16,60.01,3.36
43,Camacha,40,PT,1579820033,82,33.08,-16.33,59.0,13.87
44,Vila Franca do Campo,40,PT,1579820033,87,37.72,-25.43,53.6,5.82
45,Katsuura,75,JP,1579820033,81,35.13,140.3,50.0,6.93
46,Vao,100,NC,1579820033,73,-22.67,167.48,77.83,15.55
47,Pochutla,90,MX,1579819902,83,15.74,-96.47,75.2,9.66
48,Ellisras,23,ZA,1579820033,76,-23.66,27.74,70.66,6.11
49,Lewistown,1,US,1579820034,86,40.6,-77.57,33.8,0.69
50,Bluff,66,NZ,1579819809,64,-46.6,168.33,73.99,3.0
51,Mahebourg,75,MU,1579819949,94,-20.41,57.7,80.01,2.24
52,Dharchula,0,IN,1579820034,22,29.85,80.53,25.39,14.81
53,Manta,75,EC,1579820034,70,-0.95,-80.73,84.2,10.29
54,Pevek,99,RU,1579819841,99,69.7,170.31,-27.99,5.97
55,East London,61,ZA,1579820035,78,-33.02,27.91,68.25,13.0
56,Leshukonskoye,55,RU,1579819881,97,64.9,45.76,1.4,3.8
57,Haines Junction,100,CA,1579820035,97,60.75,-137.51,0.37,4.9
58,Mossamedes,84,AO,1579820035,78,-15.2,12.15,73.85,9.37
59,Bathsheba,75,BB,1579820004,94,13.22,-59.52,75.2,10.29
60,Bandarbeyla,99,SO,1579819746,83,9.49,50.81,77.54,17.76
61,Kruisfontein,2,ZA,1579820036,88,-34.0,24.73,62.31,9.48
